Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Sate Madura II,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-862.,Pamekasan,Jawa Timur,4.8
Rujak Cingur III,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-863.,Surabaya,Jawa Timur,4.1
Batik Madura Baru,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-864.,Bangkalan,Jawa Timur,4.2
Debus Asli,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-865.,Serang,Banten,5
Rampak Bedug Klasik,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-866.,Pandeglang,Banten,3.5
Tari Cokek Modern,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-867.,Tangerang,Banten,3.9
Uli Sera Tradisi,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-868.,Lebak,Banten,4.6
Kue Jojorong Versi A,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-869.,Pandeglang,Banten,5
Tari Bedhaya Versi B,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-870.,Yogyakarta,DI Yogyakarta,4.5
Wayang Orang I,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-871.,Yogyakarta,DI Yogyakarta,4.7
Batik Jogja II,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-872.,Yogyakarta,DI Yogyakarta,3.9
Gudeg III,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-873.,Yogyakarta,DI Yogyakarta,4.2
Geplak Baru,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-874.,Bantul,DI Yogyakarta,3.7
Tari Kecak Asli,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-875.,Gianyar,Bali,4.6
Tari Barong Klasik,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-876.,Gianyar,Bali,3.5
Ogoh-ogoh Modern,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-877.,Denpasar,Bali,4.4
Subak Tradisi,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-878.,Tabanan,Bali,4.7
Canang Sari Versi A,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-879.,Ubud,Bali,4.4
Tari Legong Versi B,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-880.,Ubud,Bali,3.9
Bebek Betutu I,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-881.,Gianyar,Bali,3.5
Loloh Cemcem II,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-882.,Karangasem,Bali,4.6
Angklung III,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-883.,Bandung,Jawa Barat,3.5
Wayang Golek Baru,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-884.,Bandung,Jawa Barat,3.7
Jaipongan Asli,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-885.,Karawang,Jawa Barat,4.8
Tari Topeng Cirebon Klasik,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-886.,Cirebon,Jawa Barat,3.7
Seren Taun Modern,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-887.,Kuningan,Jawa Barat,3.7
Sisingaan Tradisi,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-888.,Subang,Jawa Barat,4.7
Comro Versi A,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-889.,Bandung,Jawa Barat,4.2
Batik Ciamis Versi B,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-890.,Ciamis,Jawa Barat,4.1
Tari Gambyong I,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-891.,Surakarta,Jawa Tengah,3.6
Batik Solo II,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-892.,Solo,Jawa Tengah,4.7
Tari Lengger III,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-893.,Banyumas,Jawa Tengah,3.7
Ebeg Baru,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-894.,Banyumas,Jawa Tengah,3.6
Wayang Kulit Asli,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-895.,Surakarta,Jawa Tengah,3.9
Gunungan Klasik,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-896.,Yogyakarta,DI Yogyakarta,3.6
Lumpia Semarang Modern,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-897.,Semarang,Jawa Tengah,4.4
Grebeg Sudiro Tradisi,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-898.,Solo,Jawa Tengah,4.4
Reog Ponorogo Versi A,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-899.,Ponorogo,Jawa Timur,4.2
Tari Remo Versi B,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-900.,Jombang,Jawa Timur,4.1
Ludruk I,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-901.,Surabaya,Jawa Timur,4.3
Karapan Sapi II,Tradisi,Balap sapi khas Madura. Varian budaya ke-902.,Sumenep,Jawa Timur,4.8
Tari Jaranan Buto III,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-903.,Banyuwangi,Jawa Timur,4.9
Sate Madura Baru,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-904.,Pamekasan,Jawa Timur,4.6
Rujak Cingur Asli,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-905.,Surabaya,Jawa Timur,5
Batik Madura Klasik,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-906.,Bangkalan,Jawa Timur,5
Debus Modern,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-907.,Serang,Banten,3.6
Rampak Bedug Tradisi,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-908.,Pandeglang,Banten,4.4
Tari Cokek Versi A,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-909.,Tangerang,Banten,3.8
Uli Sera Versi B,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-910.,Lebak,Banten,4.3
Kue Jojorong I,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-911.,Pandeglang,Banten,4.7
Tari Bedhaya II,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-912.,Yogyakarta,DI Yogyakarta,4.8
Wayang Orang III,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-913.,Yogyakarta,DI Yogyakarta,4.1
Batik Jogja Baru,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-914.,Yogyakarta,DI Yogyakarta,3.6
Gudeg Asli,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-915.,Yogyakarta,DI Yogyakarta,4.9
Geplak Klasik,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-916.,Bantul,DI Yogyakarta,4.6
Tari Kecak Modern,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-917.,Gianyar,Bali,4
Tari Barong Tradisi,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-918.,Gianyar,Bali,3.9
Ogoh-ogoh Versi A,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-919.,Denpasar,Bali,4.5
Subak Versi B,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-920.,Tabanan,Bali,4.9
Canang Sari I,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-921.,Ubud,Bali,3.8
Tari Legong II,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-922.,Ubud,Bali,4.6
Bebek Betutu III,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-923.,Gianyar,Bali,4.8
Loloh Cemcem Baru,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-924.,Karangasem,Bali,4.8
Angklung Asli,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-925.,Bandung,Jawa Barat,4.1
Wayang Golek Klasik,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-926.,Bandung,Jawa Barat,4.9
Jaipongan Modern,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-927.,Karawang,Jawa Barat,4
Tari Topeng Cirebon Tradisi,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-928.,Cirebon,Jawa Barat,4.8
Seren Taun Versi A,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-929.,Kuningan,Jawa Barat,4
Sisingaan Versi B,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-930.,Subang,Jawa Barat,4.7
Comro I,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-931.,Bandung,Jawa Barat,4.7
Batik Ciamis II,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-932.,Ciamis,Jawa Barat,3.8
Tari Gambyong III,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-933.,Surakarta,Jawa Tengah,4.7
Batik Solo Baru,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-934.,Solo,Jawa Tengah,3.5
Tari Lengger Asli,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-935.,Banyumas,Jawa Tengah,3.6
Ebeg Klasik,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-936.,Banyumas,Jawa Tengah,3.8
Wayang Kulit Modern,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-937.,Surakarta,Jawa Tengah,4.5
Gunungan Tradisi,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-938.,Yogyakarta,DI Yogyakarta,4
Lumpia Semarang Versi A,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-939.,Semarang,Jawa Tengah,3.7
Grebeg Sudiro Versi B,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-940.,Solo,Jawa Tengah,4.6
Reog Ponorogo I,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-941.,Ponorogo,Jawa Timur,4.4
Tari Remo II,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-942.,Jombang,Jawa Timur,4.4
Ludruk III,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-943.,Surabaya,Jawa Timur,4.9
Karapan Sapi Baru,Tradisi,Balap sapi khas Madura. Varian budaya ke-944.,Sumenep,Jawa Timur,4
Tari Jaranan Buto Asli,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-945.,Banyuwangi,Jawa Timur,4.4
Sate Madura Klasik,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-946.,Pamekasan,Jawa Timur,3.5
Rujak Cingur Modern,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-947.,Surabaya,Jawa Timur,3.5
Batik Madura Tradisi,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-948.,Bangkalan,Jawa Timur,4.9
Debus Versi A,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-949.,Serang,Banten,3.9
Rampak Bedug Versi B,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-950.,Pandeglang,Banten,4.3
Tari Cokek I,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-951.,Tangerang,Banten,4.1
Uli Sera II,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-952.,Lebak,Banten,5
Kue Jojorong III,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-953.,Pandeglang,Banten,4.9
Tari Bedhaya Baru,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-954.,Yogyakarta,DI Yogyakarta,4.4
Wayang Orang Asli,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-955.,Yogyakarta,DI Yogyakarta,4.5
Batik Jogja Klasik,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-956.,Yogyakarta,DI Yogyakarta,4.3
Gudeg Modern,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-957.,Yogyakarta,DI Yogyakarta,3.7
Geplak Tradisi,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-958.,Bantul,DI Yogyakarta,4.5
Tari Kecak Versi A,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-959.,Gianyar,Bali,4.1
Tari Barong Versi B,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-960.,Gianyar,Bali,4.7
Ogoh-ogoh I,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-961.,Denpasar,Bali,3.9
Subak II,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-962.,Tabanan,Bali,4.2
Canang Sari III,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-963.,Ubud,Bali,4.6
Tari Legong Baru,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-964.,Ubud,Bali,4.5
Bebek Betutu Asli,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-965.,Gianyar,Bali,4.2
Loloh Cemcem Klasik,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-966.,Karangasem,Bali,3.7
Angklung Modern,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-967.,Bandung,Jawa Barat,3.9
Wayang Golek Tradisi,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-968.,Bandung,Jawa Barat,4.3
Jaipongan Versi A,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-969.,Karawang,Jawa Barat,4
Tari Topeng Cirebon Versi B,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-970.,Cirebon,Jawa Barat,3.9
Seren Taun I,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-971.,Kuningan,Jawa Barat,4.7
Sisingaan II,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-972.,Subang,Jawa Barat,4.4
Comro III,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-973.,Bandung,Jawa Barat,4.7
Batik Ciamis Baru,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-974.,Ciamis,Jawa Barat,4.5
Tari Gambyong Asli,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-975.,Surakarta,Jawa Tengah,3.7
Batik Solo Klasik,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-976.,Solo,Jawa Tengah,3.9
Tari Lengger Modern,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-977.,Banyumas,Jawa Tengah,4.3
Ebeg Tradisi,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-978.,Banyumas,Jawa Tengah,4.5
Wayang Kulit Versi A,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-979.,Surakarta,Jawa Tengah,4.9
Gunungan Versi B,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-980.,Yogyakarta,DI Yogyakarta,4.7
Lumpia Semarang I,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-981.,Semarang,Jawa Tengah,4.6
Grebeg Sudiro II,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-982.,Solo,Jawa Tengah,3.6
Reog Ponorogo III,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-983.,Ponorogo,Jawa Timur,4.9
Tari Remo Baru,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-984.,Jombang,Jawa Timur,4.7
Ludruk Asli,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-985.,Surabaya,Jawa Timur,4.3
Karapan Sapi Klasik,Tradisi,Balap sapi khas Madura. Varian budaya ke-986.,Sumenep,Jawa Timur,3.6
Tari Jaranan Buto Modern,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-987.,Banyuwangi,Jawa Timur,4.3
Sate Madura Tradisi,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-988.,Pamekasan,Jawa Timur,3.9
Rujak Cingur Versi A,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-989.,Surabaya,Jawa Timur,4.1
Batik Madura Versi B,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-990.,Bangkalan,Jawa Timur,5
Debus I,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-991.,Serang,Banten,4.1
Rampak Bedug II,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-992.,Pandeglang,Banten,4.9
Tari Cokek III,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-993.,Tangerang,Banten,4.8
Uli Sera Baru,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-994.,Lebak,Banten,4.9
Kue Jojorong Asli,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-995.,Pandeglang,Banten,4.2
Tari Bedhaya Klasik,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-996.,Yogyakarta,DI Yogyakarta,3.5
Wayang Orang Modern,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-997.,Yogyakarta,DI Yogyakarta,3.8
Batik Jogja Tradisi,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-998.,Yogyakarta,DI Yogyakarta,4.3
Gudeg Versi A,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-999.,Yogyakarta,DI Yogyakarta,4.4
Geplak Versi B,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-1000.,Bantul,DI Yogyakarta,4.1
